Project,Approximate Portfolio,Approximate Sub-Portfolio,Confidence,Classification Note
"BIO-RAD - UnityRealTime2","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"bioMerieux - Maestria","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"bioMerieux _FILMARRAY_TORCH","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"BK Medical_Specto","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Blackthorn.io, Inc - Blackthorn.io","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Boston Scientific - Opal (cardiac electrophsiology mapping)",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Boston Scientific - TEAC",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"BrainLab - Loop-X","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Brainlab - Quentry for SRS","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"BrainLab - RT Element",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Brainlab Quentry","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Bridges Experience Inc - dba Bridges EXP","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Cadwell,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"CAE Learning","Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Calero - Telecom Expense Management","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Capsule,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Capsule - Surveillance","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Care Continuity","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Care.ai - Smart Care Facility Platform","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"CareEvolution - MyDataHelps","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
CareIntellect,"Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
CarePoint,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Alternate plausible portfolio: Pharmacy & Medication Management."
"CarePoint 3 Upgrade","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
CarePoint3,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Alternate plausible portfolio: Pharmacy & Medication Management."
"CartoNet and CartoConnect",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"CastleBranch - Bridges EXP","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"CBORD Odyssey Direct","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Ceribell - EEG","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Cerner Bridge - Milk Management","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Cigna OSCO Centra Care Partnership","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Cintas,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Circle_Cadiovascular Imaging Inc. - cvi42","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Citrix,"Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Clean Hands","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Clean Hands - Safe Hands","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Cloudgate,"Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
ClubEssential,"Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Commend,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Commend Blue Light","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Compass 2 Building Automation System","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Compumedics,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Concert Health","Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Connexall,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Consolidated Supply Center Initiative","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"ContrastConnect - Virtual Contrast Supervision Services","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Copper Surgical - RI Viewer","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Credit Union Strategy","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"CRIO - CRIO eSource for AH TRI Study","Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Crystal Fina - DreamPath","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"CSC Projects","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Cycorp - Autonomous NICU Leveling","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
DailyPay,"Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Data Innovations","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Data Innovations (VEC)","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Datavant Connect","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Davinci - Intuitive 3D Modeling for Urology","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"DaVinci - Intuitive Hub","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"DB Surgical - M530 ARveo 8 Evolved Surgical Microscope","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Deployment Value Stream","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"DeRoyal Continuum","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"DeRoyal Continuum - VaultEx","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Designs for Vision Inc - NanoCam","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"DexCare - PDM and OmniSearch","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Digital Diagnostics - LumineticsCore","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Digital Expert Access","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Digital Expert Connect","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Digital Pathology - Sectra","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Alternate plausible portfolio: Laboratory & Pathology."
"Discovery Optima RT (GE)","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
DocPanel,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
DreamPath,"Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
eCART,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Eizo - RadiNet Pro","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"eKare inSight","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Elekta,Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Elevate (CAE) - Elevate Learning Space","Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Email Messages","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"EMCI Wireless - Medcom EMS Radio","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"EMCI Wireless - Trunking Radio System and MEDCOM Console System","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
EndoManager,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Enovis MotionMD","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"EP Evaluator",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Epic - Community Connect","Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Epiphany Upgrade",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Epiphany-ELI Link",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
ESO,"Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"EUROIMMUN (A PerkinElmer Company) - EUROPattern Microscope","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"EUROIMMUN (A PerkinElmer Company) - Sprinter XL","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Extracorporeal Life Support Organization (ELSO) Registry","Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"FAA Waggoner","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"FibroScan Gateway","Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Flamingo Crossing","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Flight Vector","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
FlightVector,"Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Flywheel,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Flywheel-Flywheel,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"FujiFilm Synapse 3D","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE - Omni Legend PET CT","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE - Portrait VSM (Vital Sign Monitor)","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE - PRAISE","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"GE - Smart Subscription","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"GE - Voluson Performance 18","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Fetal Monitoring (CPN)","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Healthcare - Aisys CS2 Anesthesia Machine","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Healthcare - MIM","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Healthcare - MV PRAISE","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Healthcare - Revolution Ascend CT","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Healthcare MyoSPECT and Xeleris","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Heathcare - Medconnect Integrate","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"GE MacLab",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE MedConnect","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Multivendor Gateway","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Nuvolo CMMS","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Protrait Vital Sign Monitor","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"GE Viewpoint","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
GEMweb,"Data & Analytics","BI / Analytics / Data",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Genetec,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Genexus,"Data & Analytics","BI / Analytics / Data",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
GTC,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Haemonetics - TEG","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Haemonetics BloodTrack","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
HatchMed,"Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
HealthLeap,"Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Hellocare,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"HID TRISM","Security, Identity & Compliance","Cybersecurity / IAM / Compliance",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Histosonics,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
Hologic,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Hyland,"Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Hyperfine - Swoop Systems","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"IBM Merge Hemo - Glen Oaks",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
